id,couple_id,season,premier_date,location,name,age,age_difference,gender,job,job_type,decision,split_decision,status,DrPepperSchwartz,DrLoganLevkoff,DrJosephCilona,ChaplainGregEpstein,PastorCalvinRoberson,RachelDeAlto,DrJessicaGriffin,DrVivianaColes,DeVonFranklin,DrPiaHolec
1,1,1,07/08/14,New York City and Northern New Jersey,Jamie Otis-Hehner,27,4,F,Nurse,Healthcare,Yes,FALSE,Married,1,1,1,1,0,0,0,0,0,0
2,1,1,07/08/14,New York City and Northern New Jersey,Doug Hehner,31,4,M,Software salesman,Sales/Marketing,Yes,FALSE,Married,1,1,1,1,0,0,0,0,0,0
3,2,1,07/08/14,New York City and Northern New Jersey,Cortney Hendrix,26,1,F,Make-up artist,Other,Yes,FALSE,Divorced,1,1,1,1,0,0,0,0,0,0
4,2,1,07/08/14,New York City and Northern New Jersey,Jason Carrion,27,1,M,Fireman,Other,Yes,FALSE,Divorced,1,1,1,1,0,0,0,0,0,0
5,3,1,07/08/14,New York City and Northern New Jersey,Monet Bell,33,3,F,Product development manager,Sales/Marketing,No,FALSE,Divorced,1,1,1,1,0,0,0,0,0,0
6,3,1,07/08/14,New York City and Northern New Jersey,Vaughn Copeland,30,3,M,Field service technician,Other,No,FALSE,Divorced,1,1,1,1,0,0,0,0,0,0
7,4,2,03/17/15,New York City and Northern New Jersey,Jaclyn Methuen,30,2,F,Vodka saleswoman,Sales/Marketing,Yes,FALSE,Divorced,1,1,1,1,0,0,0,0,0,0
8,4,2,03/17/15,New York City and Northern New Jersey,Ryan Ranellone,28,2,M,Real estate agent,Sales/Marketing,Yes,FALSE,Divorced,1,1,1,1,0,0,0,0,0,0
9,5,2,03/17/15,New York City and Northern New Jersey,Davina Kullar (now Davis),34,1,F,Pharmaceutical saleswoman,Sales/Marketing,No,FALSE,Divorced,1,1,1,1,0,0,0,0,0,0
10,5,2,03/17/15,New York City and Northern New Jersey,Sean Varricchio,35,1,M,Trauma nurse,Healthcare,No,FALSE,Divorced,1,1,1,1,0,0,0,0,0,0
11,6,2,03/17/15,New York City and Northern New Jersey,Jessica Castro,30,1,F,Receptionist,Business/Finance,Yes,FALSE,Divorced,1,1,1,1,0,0,0,0,0,0
12,6,2,03/17/15,New York City and Northern New Jersey,Ryan DeNino/Oehl,29,1,M,Businessman,Business/Finance,Yes,FALSE,Divorced,1,1,1,1,0,0,0,0,0,0
13,7,3,12/02/15,"Atlanta, Georgia",Vanessa Nelson,26,1,F,Event manager,Sales/Marketing,Yes,FALSE,Divorced,1,1,1,1,0,0,0,0,0,0
